0,1,2,3
1,0,4,5,6
2,0,7,8,9
3,0,10,11,12
4,1,-13,-14,-15,-16,-17,-18,-19,-20,-21
5,1,-22,-23,-24,-25,-26,-27,-28,-29,-30
6,1,-31,-32,-33,-34,-35,-36,-37,-38,-39
7,2,-40,-41,-42,-43,-44,-45,-46,-47,-48
8,2,-49,-50,-51,-52,-53,-54,-55,-56,-57
9,2,-58,-59,-60,-61,-62,-63,-64,-65,-66
10,3,-67,-68,-69,-70,-71,-72,-73,-74,-75
11,3,-76,-77,-78,-79,-80,-81,-82,-83,-84
12,3,-85,-86,-87,-88,-89,-90,-91,-92,-93
-13,4,-14,-15,-16,-17,-18,-19,-20,-21
-16,4,-13,-14,-15,-17,-18,-19,-20,-21
-19,4,-13,-14,-15,-16,-17,-18,-20,-21
-14,4,-13,-15,-16,-17,-18,-19,-20,-21
-17,4,-13,-14,-15,-16,-18,-19,-20,-21
-20,4,-13,-14,-15,-16,-17,-18,-19,-21
-15,4,-13,-14,-16,-17,-18,-19,-20,-21
-18,4,-13,-14,-15,-16,-17,-19,-20,-21
-21,4,-13,-14,-15,-16,-17,-18,-19,-20
-22,5,-23,-24,-25,-26,-27,-28,-29,-30
-25,5,-22,-23,-24,-26,-27,-28,-29,-30
-28,5,-22,-23,-24,-25,-26,-27,-29,-30
-23,5,-22,-24,-25,-26,-27,-28,-29,-30
-26,5,-22,-23,-24,-25,-27,-28,-29,-30
-29,5,-22,-23,-24,-25,-26,-27,-28,-30
-24,5,-22,-23,-25,-26,-27,-28,-29,-30
-27,5,-22,-23,-24,-25,-26,-28,-29,-30
-30,5,-22,-23,-24,-25,-26,-27,-28,-29
-31,6,-32,-33,-34,-35,-36,-37,-38,-39
-34,6,-31,-32,-33,-35,-36,-37,-38,-39
-37,6,-31,-32,-33,-34,-35,-36,-38,-39
-32,6,-31,-33,-34,-35,-36,-37,-38,-39
-35,6,-31,-32,-33,-34,-36,-37,-38,-39
-38,6,-31,-32,-33,-34,-35,-36,-37,-39
-33,6,-31,-32,-34,-35,-36,-37,-38,-39
-36,6,-31,-32,-33,-34,-35,-37,-38,-39
-39,6,-31,-32,-33,-34,-35,-36,-37,-38
-40,7,-41,-42,-43,-44,-45,-46,-47,-48
-43,7,-40,-41,-42,-44,-45,-46,-47,-48
-46,7,-40,-41,-42,-43,-44,-45,-47,-48
-41,7,-40,-42,-43,-44,-45,-46,-47,-48
-44,7,-40,-41,-42,-43,-45,-46,-47,-48
-47,7,-40,-41,-42,-43,-44,-45,-46,-48
-42,7,-40,-41,-43,-44,-45,-46,-47,-48
-45,7,-40,-41,-42,-43,-44,-46,-47,-48
-48,7,-40,-41,-42,-43,-44,-45,-46,-47
-49,8,-50,-51,-52,-53,-54,-55,-56,-57
-52,8,-49,-50,-51,-53,-54,-55,-56,-57
-55,8,-49,-50,-51,-52,-53,-54,-56,-57
-50,8,-49,-51,-52,-53,-54,-55,-56,-57
-53,8,-49,-50,-51,-52,-54,-55,-56,-57
-56,8,-49,-50,-51,-52,-53,-54,-55,-57
-51,8,-49,-50,-52,-53,-54,-55,-56,-57
-54,8,-49,-50,-51,-52,-53,-55,-56,-57
-57,8,-49,-50,-51,-52,-53,-54,-55,-56
-58,9,-59,-60,-61,-62,-63,-64,-65,-66
-61,9,-58,-59,-60,-62,-63,-64,-65,-66
-64,9,-58,-59,-60,-61,-62,-63,-65,-66
-59,9,-58,-60,-61,-62,-63,-64,-65,-66
-62,9,-58,-59,-60,-61,-63,-64,-65,-66
-65,9,-58,-59,-60,-61,-62,-63,-64,-66
-60,9,-58,-59,-61,-62,-63,-64,-65,-66
-63,9,-58,-59,-60,-61,-62,-64,-65,-66
-66,9,-58,-59,-60,-61,-62,-63,-64,-65
-67,10,-68,-69,-70,-71,-72,-73,-74,-75
-70,10,-67,-68,-69,-71,-72,-73,-74,-75
-73,10,-67,-68,-69,-70,-71,-72,-74,-75
-68,10,-67,-69,-70,-71,-72,-73,-74,-75
-71,10,-67,-68,-69,-70,-72,-73,-74,-75
-74,10,-67,-68,-69,-70,-71,-72,-73,-75
-69,10,-67,-68,-70,-71,-72,-73,-74,-75
-72,10,-67,-68,-69,-70,-71,-73,-74,-75
-75,10,-67,-68,-69,-70,-71,-72,-73,-74
-76,11,-77,-78,-79,-80,-81,-82,-83,-84
-79,11,-76,-77,-78,-80,-81,-82,-83,-84
-82,11,-76,-77,-78,-79,-80,-81,-83,-84
-77,11,-76,-78,-79,-80,-81,-82,-83,-84
-80,11,-76,-77,-78,-79,-81,-82,-83,-84
-83,11,-76,-77,-78,-79,-80,-81,-82,-84
-78,11,-76,-77,-79,-80,-81,-82,-83,-84
-81,11,-76,-77,-78,-79,-80,-82,-83,-84
-84,11,-76,-77,-78,-79,-80,-81,-82,-83
-85,12,-86,-87,-88,-89,-90,-91,-92,-93
-88,12,-85,-86,-87,-89,-90,-91,-92,-93
-91,12,-85,-86,-87,-88,-89,-90,-92,-93
-86,12,-85,-87,-88,-89,-90,-91,-92,-93
-89,12,-85,-86,-87,-88,-90,-91,-92,-93
-92,12,-85,-86,-87,-88,-89,-90,-91,-93
-87,12,-85,-86,-88,-89,-90,-91,-92,-93
-90,12,-85,-86,-87,-88,-89,-91,-92,-93
-93,12,-85,-86,-87,-88,-89,-90,-91,-92
