-13,14,4
-13,15,4
-13,16,4
-13,17,4
-13,18,4
-13,19,4
-13,20,4
-13,21,4
-13,-22,1
-13,-23,1
-13,-24,1
-13,-25,1
-13,-26,1
-13,-27,1
-13,-28,1
-13,-29,1
-13,-30,1
-13,-31,1
-13,-32,1
-13,-33,1
-13,-34,1
-13,-35,1
-13,-36,1
-13,-37,1
-13,-38,1
-13,-39,1
-13,-40,0
-13,-41,0
-13,-42,0
-13,-43,0
-13,-44,0
-13,-45,0
-13,-46,0
-13,-47,0
-13,-48,0
-13,-49,0
-13,-50,0
-13,-51,0
-13,-52,0
-13,-53,0
-13,-54,0
-13,-55,0
-13,-56,0
-13,-57,0
-13,-58,0
-13,-59,0
-13,-60,0
-13,-61,0
-13,-62,0
-13,-63,0
-13,-64,0
-13,-65,0
-13,-66,0
-13,-67,0
-13,-68,0
-13,-69,0
-13,-70,0
-13,-71,0
-13,-72,0
-13,-73,0
-13,-74,0
-13,-75,0
-13,-76,0
-13,-77,0
-13,-78,0
-13,-79,0
-13,-80,0
-13,-81,0
-13,-82,0
-13,-83,0
-13,-84,0
-13,-85,0
-13,-86,0
-13,-87,0
-13,-88,0
-13,-89,0
-13,-90,0
-13,-91,0
-13,-92,0
-13,-93,0
-16,13,4
-16,14,4
-16,15,4
-16,17,4
-16,18,4
-16,19,4
-16,20,4
-16,21,4
-16,-22,1
-16,-23,1
-16,-24,1
-16,-25,1
-16,-26,1
-16,-27,1
-16,-28,1
-16,-29,1
-16,-30,1
-16,-31,1
-16,-32,1
-16,-33,1
-16,-34,1
-16,-35,1
-16,-36,1
-16,-37,1
-16,-38,1
-16,-39,1
-16,-40,0
-16,-41,0
-16,-42,0
-16,-43,0
-16,-44,0
-16,-45,0
-16,-46,0
-16,-47,0
-16,-48,0
-16,-49,0
-16,-50,0
-16,-51,0
-16,-52,0
-16,-53,0
-16,-54,0
-16,-55,0
-16,-56,0
-16,-57,0
-16,-58,0
-16,-59,0
-16,-60,0
-16,-61,0
-16,-62,0
-16,-63,0
-16,-64,0
-16,-65,0
-16,-66,0
-16,-67,0
-16,-68,0
-16,-69,0
-16,-70,0
-16,-71,0
-16,-72,0
-16,-73,0
-16,-74,0
-16,-75,0
-16,-76,0
-16,-77,0
-16,-78,0
-16,-79,0
-16,-80,0
-16,-81,0
-16,-82,0
-16,-83,0
-16,-84,0
-16,-85,0
-16,-86,0
-16,-87,0
-16,-88,0
-16,-89,0
-16,-90,0
-16,-91,0
-16,-92,0
-16,-93,0
-19,13,4
-19,14,4
-19,15,4
-19,16,4
-19,17,4
-19,18,4
-19,20,4
-19,21,4
-19,-22,1
-19,-23,1
-19,-24,1
-19,-25,1
-19,-26,1
-19,-27,1
-19,-28,1
-19,-29,1
-19,-30,1
-19,-31,1
-19,-32,1
-19,-33,1
-19,-34,1
-19,-35,1
-19,-36,1
